timestamp,layer,evaluation_name,metric,ranker,run_name,k,score,questions_evaluated,total_gold_nuggets,parameters_json,retrieval_results_path,benchmark_path
2026-06-19T00:09:37,lexical,lexical_ROUGE1_Nugget@5,ROUGE1_Nugget,lexical,ranker_lexical,5,0.429233,20,81,"{""metric"": ""rouge1"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_lexical\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T00:09:37,lexical,lexical_ROUGEL_Nugget@5,ROUGEL_Nugget,lexical,ranker_lexical,5,0.364808,20,81,"{""metric"": ""rougel"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_lexical\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T00:09:37,lexical,lexical_ROUGE_Nugget@5,ROUGE_Nugget,lexical,ranker_lexical,5,0.39702,20,81,"{""metric"": ""rouge"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_lexical\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T00:09:37,lexical,lexical_BM25_Nugget@5,BM25_Nugget,lexical,ranker_lexical,5,0.183184,20,81,"{""metric"": ""bm25"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_lexical\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T00:58:28,lexical,lexical_ROUGE1_Nugget@5,ROUGE1_Nugget,medcpt,ranker_medcpt,5,0.421932,20,81,"{""metric"": ""rouge1"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_medcpt\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T00:58:28,lexical,lexical_ROUGEL_Nugget@5,ROUGEL_Nugget,medcpt,ranker_medcpt,5,0.350173,20,81,"{""metric"": ""rougel"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_medcpt\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T00:58:28,lexical,lexical_ROUGE_Nugget@5,ROUGE_Nugget,medcpt,ranker_medcpt,5,0.386052,20,81,"{""metric"": ""rouge"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_medcpt\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T00:58:28,lexical,lexical_BM25_Nugget@5,BM25_Nugget,medcpt,ranker_medcpt,5,0.170387,20,81,"{""metric"": ""bm25"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_medcpt\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T01:07:58,lexical,lexical_ROUGE1_Nugget@5,ROUGE1_Nugget,hybrid,ranker_hybrid,5,0.438397,20,81,"{""metric"": ""rouge1"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_hybrid\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T01:07:58,lexical,lexical_ROUGEL_Nugget@5,ROUGEL_Nugget,hybrid,ranker_hybrid,5,0.36733,20,81,"{""metric"": ""rougel"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_hybrid\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T01:07:58,lexical,lexical_ROUGE_Nugget@5,ROUGE_Nugget,hybrid,ranker_hybrid,5,0.402863,20,81,"{""metric"": ""rouge"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_hybrid\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T01:07:58,lexical,lexical_BM25_Nugget@5,BM25_Nugget,hybrid,ranker_hybrid,5,0.18355,20,81,"{""metric"": ""bm25"", ""k"": 5, ""bm25_k1"": 1.5, ""bm25_b"": 0.75, ""questions_with_evidence"": 20, ""aggregation"": ""mean over all gold nuggets; each nugget uses best matching top-k snippet""}",outputs\ranker_hybrid\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
