question_id,question,ranking_method,rank,score,title,evidence_text,year,journal,doi,source,ext_id,url,score_components_json
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,lexical,1,19.4,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"The aim of the study was to determine the stability of analytes in serum gel tubes and plain tubes exposed to a range of storage temperatures and times after centrifugation.<h4>Materials and methods</h4>Fifteen healthy volunteers were recruited and venous blood was collected into four tubes, two with and two without gel separator. Analyzing the baseline samples in 30 min, all were stored at 4 degrees C or 24 degrees C for 6, 12, 18, 24, 30, 36, 48 and 72 hours and 1 week.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""lexical"", ""lexical_raw"": 19.4, ""final_score"": 19.4}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,lexical,2,17.95,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"Glucose concentration decreased markedly (P = 0.001) beginning from the first hours of storage in plain serum. The stability maximized for the analytes including glucose, total bilirubin, urea nitrogen (BUN), uric acid stored at 4 degrees C in gel tubes.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""lexical"", ""lexical_raw"": 17.95, ""final_score"": 17.95}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,lexical,3,15.7,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"Aspartate aminotransferase (AST) activity increased significantly (P = 0.002) up to 48-h, however bias was not significant clinically. High density lipoprotein (HDL) concentration was stable in gel tubes at 24 degrees C, in plain tubes at 4 degrees C stored up to 36-h.<h4>Conclusion</h4>Serum gel or non-gel tubes might be used interchangeably for 11 analytes chilled or at 24 degrees C, whereas some restrictions must be applied for glucose, AST, BUN, HDL, and uric acid.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""lexical"", ""lexical_raw"": 15.7, ""final_score"": 15.7}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,lexical,4,15.7,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"High density lipoprotein (HDL) concentration was stable in gel tubes at 24 degrees C, in plain tubes at 4 degrees C stored up to 36-h.<h4>Conclusion</h4>Serum gel or non-gel tubes might be used interchangeably for 11 analytes chilled or at 24 degrees C, whereas some restrictions must be applied for glucose, AST, BUN, HDL, and uric acid.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""lexical"", ""lexical_raw"": 15.7, ""final_score"": 15.7}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,lexical,5,15.15,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"<h4>Introduction</h4>The collected and shipped blood samples are exposed to a various extra-analytical factors prior to analysis. The aim of the study was to determine the stability of analytes in serum gel tubes and plain tubes exposed to a range of storage temperatures and times after centrifugation.<h4>Materials and methods</h4>Fifteen healthy volunteers were recruited and venous blood was collected into four tubes, two with and two without gel separator.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""lexical"", ""lexical_raw"": 15.15, ""final_score"": 15.15}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,lexical,6,13.95,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"Variations remained under the desirable bias considered as clinically insignificant.<h4>Results</h4>On day three, most analytes remained stable including albumin, protein, creatinine, cholesterol, triglycerides, gamma-glutamyl transferase (GGT), alkaline phosphatase (ALP), alanine aminotransferase (ALT), creatine kinase (CK), lactate dehydrogenase (LD) regardless of tube types. Glucose concentration decreased markedly (P = 0.001) beginning from the first hours of storage in plain serum.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""lexical"", ""lexical_raw"": 13.95, ""final_score"": 13.95}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,lexical,7,13.45,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"The stability maximized for the analytes including glucose, total bilirubin, urea nitrogen (BUN), uric acid stored at 4 degrees C in gel tubes. Aspartate aminotransferase (AST) activity increased significantly (P = 0.002) up to 48-h, however bias was not significant clinically.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""lexical"", ""lexical_raw"": 13.45, ""final_score"": 13.45}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,lexical,8,11.75,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"Analyzing the baseline samples in 30 min, all were stored at 4 degrees C or 24 degrees C for 6, 12, 18, 24, 30, 36, 48 and 72 hours and 1 week. Sixteen biochemical anaytes were measured on each sample.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""lexical"", ""lexical_raw"": 11.75, ""final_score"": 11.75}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,lexical,9,9.7,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"Sixteen biochemical anaytes were measured on each sample. Variations remained under the desirable bias considered as clinically insignificant.<h4>Results</h4>On day three, most analytes remained stable including albumin, protein, creatinine, cholesterol, triglycerides, gamma-glutamyl transferase (GGT), alkaline phosphatase (ALP), alanine aminotransferase (ALT), creatine kinase (CK), lactate dehydrogenase (LD) regardless of tube types.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""lexical"", ""lexical_raw"": 9.7, ""final_score"": 9.7}"
BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,lexical,1,26.1,"Impact of sample processing delays on plasma markers of inflammation, chemotaxis, cell death, and blood coagulation.","Admission diagnoses for the ICU patients included sepsis, trauma, ruptured abdominal aortic aneurysm, intracranial hemorrhage, gastrointestinal bleed, and hyperkalemia. After pre-processing delays of up to 72 hours at RT or 4°C, no significant changes were observed in plasma cytokines, chemokines, cfDNA, or thrombin formation.<h4>Conclusions</h4>Delayed sample processing for up to 72 hours at either RT or 4°C did not significantly affect cytokines, chemokines, cfDNA, or blood clotting potential in plasma samples from healthy volunteers and ICU patients.",2024,,10.1371/journal.pone.0311921,MED,39480839,https://pmc.ncbi.nlm.nih.gov/articles/PMC11527306/,"{""ranker"": ""lexical"", ""lexical_raw"": 26.1, ""final_score"": 26.1}"
BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,lexical,2,26.1,"Impact of sample processing delays on plasma markers of inflammation, chemotaxis, cell death, and blood coagulation.","After pre-processing delays of up to 72 hours at RT or 4°C, no significant changes were observed in plasma cytokines, chemokines, cfDNA, or thrombin formation.<h4>Conclusions</h4>Delayed sample processing for up to 72 hours at either RT or 4°C did not significantly affect cytokines, chemokines, cfDNA, or blood clotting potential in plasma samples from healthy volunteers and ICU patients. A ""simplified"" biosampling protocol is a feasible solution for conducting biosampling research at hospitals without local processing capacity.",2024,,10.1371/journal.pone.0311921,MED,39480839,https://pmc.ncbi.nlm.nih.gov/articles/PMC11527306/,"{""ranker"": ""lexical"", ""lexical_raw"": 26.1, ""final_score"": 26.1}"
